post_title,post_content,post_excerpt,post_status,post_type,meta_url,meta_email,meta_phone,meta_type,meta_services,meta_address,categories
H+H Laboratory Services,<p>Lab equipment service</p>,Lab equipment service,draft,lab_supplier,https://hhlab.com,,,lab_services,"Service, Repair, Calibration, Training",,lab_services
GenVault,<p>Sample management services</p>,Sample management services,draft,lab_supplier,https://www.genvault.com,,,lab_services,"Biobanking, Sample storage, Cold chain, Tracking",,lab_services
Brooks Life Sciences,<p>Sample management and automation</p>,Sample management and automation,draft,lab_supplier,https://www.brooks.com,,,lab_services,"Automation, Sample management, Storage, Tracking",,lab_services
Azenta Life Sciences,<p>Sample management and storage</p>,Sample management and storage,draft,lab_supplier,https://www.azenta.com,,,lab_services,"Biobanking, Sample storage, Cold chain, Software",,lab_services
Hamilton Company,<p>Lab automation and liquid handling</p>,Lab automation and liquid handling,draft,lab_supplier,https://www.hamiltoncompany.com,,,automation,"Automation, Liquid handling, Service, Training",,automation
Tecan,<p>Lab automation</p>,Lab automation,draft,lab_supplier,https://www.tecan.com,,,automation,"Automation, Liquid handling, Service, Applications",,automation
PerkinElmer Informatics,<p>Lab information management</p>,Lab information management,draft,lab_supplier,https://www.perkinelmerinformatics.com,,,software,"LIMS, Software, Training, Support",,software
LabWare,<p>LIMS and laboratory software</p>,LIMS and laboratory software,draft,lab_supplier,https://www.labware.com,,,software,"LIMS, Software, Implementation, Training",,software
Thermo Fisher SampleManager,<p>LIMS software</p>,LIMS software,draft,lab_supplier,https://www.thermofisher.com,,1771485032,software,"LIMS, Software, Implementation, Support",,software
Agilent OpenLAB,<p>Lab software solutions</p>,Lab software solutions,draft,lab_supplier,https://www.agilent.com,,1771485033,software,"Software, ELN, LIMS, Support",,software
Waters NuGenesis,<p>Lab data management</p>,Lab data management,draft,lab_supplier,https://www.waters.com,,,software,"Software, LIMS, SDMS, Training",,software
BIOVIA,<p>Scientific software</p>,Scientific software,draft,lab_supplier,https://www.3ds.com/products-services/biovia,,,software,"ELN, LIMS, Software, Training",,software
IDBS,<p>Bioinformatics software</p>,Bioinformatics software,draft,lab_supplier,https://www.idbs.com,,+1 781 272 3355,software,"Software, ELN, Biobanking, Support",,software
Labguru,<p>Lab management platform</p>,Lab management platform,draft,lab_supplier,https://www.labguru.com,info@biodata.com,,software,"Software, ELN, Inventory, Training",,software
Benchling,<p>Lab informatics platform</p>,Lab informatics platform,draft,lab_supplier,https://www.benchling.com,,,software,"Software, ELN, LIMS, Support",,software
Science Exchange,<p>Lab service marketplace</p>,Lab service marketplace,draft,lab_supplier,https://www.scienceexchange.com,info@scienceexchange.com,,marketplace,"Lab services, Outsourcing, Testing, Research",,marketplace
 Scientist.com,<p>Research marketplace</p>,Research marketplace,draft,lab_supplier,https://www.scientist.com,,,marketplace,"Lab services, Outsourcing, Research, Testing",,marketplace
