name,url,type,description,services,title,meta_description,emails,phones,scraped_at
Republic Services,https://www.republicservices.com,waste_management,Environmental services including lab waste,"['Waste disposal', 'Recycling', 'Lab waste services', 'Sustainability']","Environmental Services, Recycling &amp; Trash Pickup Services","Get reliable, responsible environmental service solutions. Republic Services also offers residential, commercial, and industrial trash pickup and recycling.",[],[],2026-02-19T07:10:12.300854
Waste Management,https://www.wm.com,waste_management,Comprehensive waste services including labs,"['Hazardous waste', 'Lab disposal', 'Environmental services', 'Compliance']",WM | Waste Management &amp; Recycling Services,"WM is the leading provider of comprehensive waste management, offering services such as garbage collection, recycling pickup and dumpster rental.",[],[],2026-02-19T07:10:12.691032
Kimberly-Clark Professional,https://www.kcprofessional.com,cleaning_products,Lab cleaning and safety products,"['Wipes', 'Cleaning products', 'PPE', 'Lab supplies']",Just a moment...,,[],[],2026-02-19T07:10:12.896214
3M Health Care,https://www.3m.com/3M/en_US/healthcare/,cleaning_products,Healthcare and lab cleaning products,"['Disinfectants', 'Cleaning solutions', 'Infection control', 'Lab supplies']",,,[],[],2026-02-19T07:10:13.231571
CloroxPro,https://www.cloroxpro.com,cleaning_products,Professional cleaning and disinfection,"['Disinfectants', 'Cleaners', 'Lab sanitation', 'Training']","Cleaning Supplies for Business, Hospitals &amp; Schools | CloroxPro","Explore CloroxPro&#x27;s comprehensive cleaning and disinfecting solutions for businesses, healthcare facilities, and schools, backed by over a century of expertise.",[],['888-797-7225'],2026-02-19T07:10:13.571450
Betco,https://www.betco.com,cleaning_products,Professional cleaning solutions,"['Cleaning chemicals', 'Disinfectants', 'Training', 'Equipment']",,Betco is a chemical and equipment manufacturer known for high-performing products that help our customers win in the commercial cleaning industry.,[],"['877-856-5954', '888-462-3826']",2026-02-19T07:10:14.003856
ABC Laboratories,https://www.abclabs.com,analytical_lab,Lab testing and analytical services,"['Analytical testing', 'Lab services', 'Research', 'Testing']",403 Forbidden,,[],[],2026-02-19T07:10:14.750929
Eurofins Scientific,https://www.eurofinsus.com,analytical_lab,Lab testing and analysis,"['Lab testing', 'Analytical services', 'Research', 'Quality control']",403 Forbidden,,[],[],2026-02-19T07:10:15.135954
ALS Limited,https://www.alsglobal.com,analytical_lab,Laboratory testing services,"['Lab testing', 'Environmental testing', 'Food testing', 'Forensics']","ALS Global | Environmental Testing, Laboratory Services &amp; Scientific Solutions","ALS Global provides comprehensive environmental testing, laboratory services, and scientific solutions across industries. Explore our cutting-edge services for water, air, soil, and more. Trust ALS for reliable results, expert analysis, and global reach.",[],"['281-575-2290', '+1 281-575-2290']",2026-02-19T07:10:15.525144
NSF International,https://www.nsf.org,testing_certification,Lab testing and certification,"['Lab certification', 'Testing', 'Standards', 'Audits']",NSF | The Public Health and Safety Organization,"NSF, a trusted authority for health standards, testing, certification, and consulting, enhances global human health with public safety standards and…",[],[],2026-02-19T07:10:15.753394
UL Solutions,https://www.ul.com,testing_certification,Safety testing and certification,"['Lab testing', 'Certification', 'Safety testing', 'Standards']",UL Solutions,UL Solutions is a global independent safety science company with more than a century of expertise innovating safety solutions.,[],[],2026-02-19T07:10:15.913387
Intertek,https://www.intertek.com,testing_certification,Quality and safety testing,"['Lab testing', 'Inspection', 'Certification', 'Assurance']",Intertek,,[],['800 967 5352'],2026-02-19T07:10:16.259719
SGS,https://www.sgs.com,testing_certification,"Testing, inspection and certification","['Lab testing', 'Inspection', 'Certification', 'Verification']","SGS | We are the world&#x27;s leading Testing, Inspection and Certification company.","We are the world&#x27;s leading Testing, Inspection and Certification company.",[],[],2026-02-19T07:10:16.903029
Bureau Veritas,https://www.bureauveritas.com,testing_certification,"Testing, inspection and certification","['Lab testing', 'Inspection', 'Certification', 'Compliance']",Home | Bureau Veritas,,[],[],2026-02-19T07:10:17.856632
Noxilico,https://www.noxilico.com,lab_decommissioning,Lab decontamination and decommissioning,"['Lab decommissioning', 'Decontamination', 'Chemical clearance', 'Equipment disposal']",,,,,
Chemistry Rx,https://www.chemistryrx.com,lab_services,Lab equipment and services,"['Lab equipment', 'Glassware cleaning', 'Sterilization', 'Calibration']",Chemistry Rx Compounding Pharmacy - Specialty Compounding Experts,Chemistry Rx is a specialty pharmacy in Philadelphia offering clinically proven compounded therapies and personalized medicine to patients.,['info@chemistryrx.com'],"['267-861-0862', '(855) 790-0100']",2026-02-19T07:10:18.316806
Avantor Services,https://avantorsciences.com,lab_services,Lab services and solutions,"['Lab equipment', 'Cleaning validation', 'Calibration', 'Training']",,,[],[],2026-02-19T07:10:18.861107
Thermo Fisher Scientific Services,https://www.thermofisher.com,lab_services,Lab equipment and service,"['Equipment service', 'Calibration', 'Validation', 'Training']",Access Denied,,[],['1771485018'],2026-02-19T07:10:19.039456
Agilent CrossLab,https://www.agilent.com,lab_services,Lab instrument services,"['Instrument service', 'Calibration', 'Training', 'Support']",Access Denied,,[],['1771485019'],2026-02-19T07:10:19.179175
Waters Corporation Services,https://www.waters.com,lab_services,Chromatography system services,"['Instrument service', 'Preventive maintenance', 'Training', 'Validation']",,,,,
Shimadzu Scientific Instruments,https://www.ssi.shimadzu.com,lab_services,Analytical instrument services,"['Service', 'Support', 'Training', 'Calibration']",Analytical Testing / Measuring Instruments | Shimadzu,"Discover insights and innovative solutions from Shimadzu, tailored to your needs. Visit Shimadzu today for more information.",[],[],2026-02-19T07:10:19.517484
PerkinElmer Services,https://www.perkinelmer.com,lab_services,Lab equipment and services,"['Instrument service', 'Applications support', 'Training', 'Validation']",PerkinElmer | Science with Purpose,,[],[],2026-02-19T07:10:19.856942
Beckman Coulter Life Sciences,https://www.beckmancoulter.com,lab_services,Centrifuge and lab services,"['Service', 'Preventive maintenance', 'Training', 'Validation']",Beckman Coulter Diagnostics | Beckman Coulter,Beckman Coulter Diagnostics helps healthcare professionals provide better patient care by delivering the accurate diagnostic information they need.,[],[],2026-02-19T07:10:20.520316
Bio-Rad Laboratories Services,https://www.bio-rad.com,lab_services,Life science equipment service,"['Service', 'Support', 'Training', 'Applications']",Access Denied,,[],['1771485020'],2026-02-19T07:10:20.681428
Eppendorf Service,https://www.eppendorf.com,lab_services,Lab equipment service,"['Service', 'Calibration', 'Training', 'Repair']","Laboratory equipment, supplies & services - Eppendorf US","Eppendorf SE is a leading life sciences company and develops and sells devices, consumables and services for use in laboratories worldwide.",[],[],2026-02-19T07:10:21.212580
Sartorius Services,https://www.sartorius.com,lab_services,Lab and bioprocess services,"['Service', 'Validation', 'Training', 'Applications']",,,[],[],2026-02-19T07:10:21.493745
Metler Toledo Service,https://www.mt.com,lab_services,Lab balance and scale service,"['Calibration', 'Service', 'Training', 'Validation']",,,[],[],2026-02-19T07:10:21.674035
Cytiva,https://www.cytiva.com,lab_services,Bioprocessing lab services,"['Service', 'Validation', 'Training', 'Applications']",Cytiva,,[],[],2026-02-19T07:10:22.277063
Danaher,https://www.danaher.com,lab_services,Lab diagnostics and services,"['Service', 'Support', 'Training', 'Applications']",Danaher Corporation,"As a leading global life sciences and diagnostics innovator, we are committed to accelerating the power of science and technology to improve human health.",[],[],2026-02-19T07:10:22.675533
Labconco,https://www.labconco.com,equipment_manufacturer,Fume hoods and lab equipment,"['Equipment', 'Installation', 'Service', 'Certification']",,,[],[],2026-02-19T07:10:23.030885
NuAire,https://www.nuaire.com,equipment_manufacturer,Biological safety cabinets,"['Equipment', 'Installation', 'Certification', 'Service']",Biosafety Cabinets &amp; Reliable Lab Equipment | Nuaire,"NuAire manufactures biosafety cabinets, CO₂ incubators, freezers, and lab equipment trusted worldwide for safety, reliability, and innovation.",[],['763-553-1270'],2026-02-19T07:10:23.822670
The Baker Company,https://www.bakerco.com,equipment_manufacturer,Biological safety cabinets,"['Equipment', 'Installation', 'Certification', 'Service']",Baker Co. - Made to Order Laboratory Safety Equipment,"For over 100 years, Baker Co. has been at the forefront of engineering, testing and manufacturing reliable laboratory safety equipment.",[],[],2026-02-19T07:10:24.867678
Air Science,https://www.airscience.com,equipment_manufacturer,Fume hoods and enclosures,"['Equipment', 'Installation', 'Service', 'Filters']","Fume Hoods, Laminar Flow, PCR | Air Science","Air Science manufactures ductless fume hoods, laminar flow cabinets, forensic products, biological safety cabinets, pcr workstations.",['info@airscience.com'],"['(239) 489-0024', '239.489.0024']",2026-02-19T07:10:25.428913
Bertsche,https://www.bertsche.com,lab_decommissioning,Lab relocation and decommissioning,"['Lab relocation', 'Decommissioning', 'Decontamination', 'Moving']",403 Forbidden,,[],[],2026-02-19T07:10:25.689683
H+H Laboratory Services,https://hhlab.com,lab_services,Lab equipment service,"['Service', 'Repair', 'Calibration', 'Training']",,,,,
GenVault,https://www.genvault.com,lab_services,Sample management services,"['Biobanking', 'Sample storage', 'Cold chain', 'Tracking']",Not Acceptable!,,[],[],2026-02-19T07:10:26.711755
Brooks Life Sciences,https://www.brooks.com,lab_services,Sample management and automation,"['Automation', 'Sample management', 'Storage', 'Tracking']",Brooks Automation - Semiconductor Manufacturing and Collaborative Robots - Brooks Automation,,[],[],2026-02-19T07:10:27.035868
Azenta Life Sciences,https://www.azenta.com,lab_services,Sample management and storage,"['Biobanking', 'Sample storage', 'Cold chain', 'Software']",Accelerating Breakthroughs &amp; Therapies | Azenta Life Sciences,"Azenta Life Sciences enterprise-wide sample exploration and management solutions accelerate discovery, development and delivery, with speed and precision.",[],[],2026-02-19T07:10:27.973283
Hamilton Company,https://www.hamiltoncompany.com,automation,Lab automation and liquid handling,"['Automation', 'Liquid handling', 'Service', 'Training']",Just a moment...,,[],[],2026-02-19T07:10:28.136676
Tecan,https://www.tecan.com,automation,Lab automation,"['Automation', 'Liquid handling', 'Service', 'Applications']",Tecan Group Home - Scaling Healthcare Innovation Globally.,"Tecan’s purpose is to improve people’s lives and health. We do that by empowering customers to scale healthcare innovation globally. Together, we are shaping a brighter, healthier future, for patients across the world.",[],[],2026-02-19T07:10:29.392877
PerkinElmer Informatics,https://www.perkinelmerinformatics.com,software,Lab information management,"['LIMS', 'Software', 'Training', 'Support']",,"Top crypto sports betting picks for 2026 with BTC support: odds, bonuses, markets, withdrawals, and safety checks for sports betting bitcoin.",[],[],2026-02-19T07:10:30.835242
LabWare,https://www.labware.com,software,LIMS and laboratory software,"['LIMS', 'Software', 'Implementation', 'Training']",Automate Your Laboratory with the Global Leader for LIMS and ELN,Enhance laboratory efficiency and compliance with LabWare,[],[],2026-02-19T07:10:32.850804
Thermo Fisher SampleManager,https://www.thermofisher.com,software,LIMS software,"['LIMS', 'Software', 'Implementation', 'Support']",Access Denied,,[],['1771485032'],2026-02-19T07:10:33.007149
Agilent OpenLAB,https://www.agilent.com,software,Lab software solutions,"['Software', 'ELN', 'LIMS', 'Support']",Access Denied,,[],['1771485033'],2026-02-19T07:10:33.206606
Waters NuGenesis,https://www.waters.com,software,Lab data management,"['Software', 'LIMS', 'SDMS', 'Training']",,,,,
BIOVIA,https://www.3ds.com/products-services/biovia,software,Scientific software,"['ELN', 'LIMS', 'Software', 'Training']",Generative AI for Every Scientist | BIOVIA - Dassault Systèmes,"BIOVIA provides a scientific collaborative environment for advanced biological, chemical and materials experiences.",[],[],2026-02-19T07:10:35.326187
IDBS,https://www.idbs.com,software,Bioinformatics software,"['Software', 'ELN', 'Biobanking', 'Support']",Comprehensive Laboratory Informatics Solutions | IDBS,Discover IDBS&#039; advanced laboratory informatics solutions. Streamline R&amp;D data management and boost lab efficiency and accuracy with innovative tools.,[],"['+1 781 272 3355', '781 272 3355']",2026-02-19T07:10:36.242165
Labguru,https://www.labguru.com,software,Lab management platform,"['Software', 'ELN', 'Inventory', 'Training']",Lab Management Software | Laboratory System | Labguru,"Accelerate R&amp;D with unified lab management software. Let your lab teams collaborate, track experiments, and search results in the laboratory system.",['info@biodata.com'],[],2026-02-19T07:10:36.450832
Benchling,https://www.benchling.com,software,Lab informatics platform,"['Software', 'ELN', 'LIMS', 'Support']",Cloud-based platform for biotech R&amp;D | Benchling,"Benchling is a cloud-based platform for biotechnology research and development and the only biology-first platform for scientific data, collaboration, and insights.",[],[],2026-02-19T07:10:36.682482
Science Exchange,https://www.scienceexchange.com,marketplace,Lab service marketplace,"['Lab services', 'Outsourcing', 'Testing', 'Research']",Science Exchange | Supplier Orchestration | R&amp;D Marketplace,"Discover how to simplify purchasing, supplier management, and payment processing.  Work with suppliers faster, reduce costs, and fuel innovation. Supplier Orchestration.",['info@scienceexchange.com'],[],2026-02-19T07:10:36.984015
 Scientist.com,https://www.scientist.com,marketplace,Research marketplace,"['Lab services', 'Outsourcing', 'Research', 'Testing']",World’s Leading AI-Powered R&D Marketplace | Scientist.com,"Trusted by the world’s top pharmaceutical companies and biotechs, Scientist.com combines access to over 6,000 suppliers with tools for efficient, compliant execution of complex experiments.",[],[],2026-02-19T07:10:37.455641
