post_title,post_content,post_excerpt,post_status,meta_url,meta_email,meta_phone,meta_address,meta_city,meta_state,meta_zip,meta_country,meta_type,meta_services,meta_founded,meta_employees,meta_revenue,meta_ticker,meta_parent,meta_linkedin,meta_twitter,meta_facebook
Republic Services,Environmental services including lab waste,Environmental services including lab waste,draft,https://www.republicservices.com,,,,,,,USA,waste_management,"Waste disposal, Recycling, Lab waste services, Sustainability",,,,,,,,
Waste Management,Comprehensive waste services including labs,Comprehensive waste services including labs,draft,https://www.wm.com,,,,,,,USA,waste_management,"Hazardous waste, Lab disposal, Environmental services, Compliance",,,,,,,,
Kimberly-Clark Professional,Lab cleaning and safety products,Lab cleaning and safety products,draft,https://www.kcprofessional.com,,,,,,,USA,cleaning_products,"Wipes, Cleaning products, PPE, Lab supplies",,,,,,,,
3M Health Care,Healthcare and lab cleaning products,Healthcare and lab cleaning products,draft,https://www.3m.com/3M/en_US/healthcare/,,,,,,,USA,cleaning_products,"Disinfectants, Cleaning solutions, Infection control, Lab supplies",,,,,,,,
CloroxPro,"Professional cleaning and disinfection brand providing laboratory-grade sanitizers, disinfectants, and cleaning solutions.","Professional cleaning and disinfection brand providing laboratory-grade sanitizers, disinfectants, and cleaning solutions.",draft,https://www.cloroxpro.com,"info@cloroxpro.com, professional@clorox.com",888-797-7225," PO Box 24305, Oakland, CA 94623",Oakland,CA,94623,USA,cleaning_products,"Disinfectants, Cleaners, Lab sanitation, Training",1913,9000+,$7B+,CLX,The Clorox Company,https://www.linkedin.com/company/clorox,https://twitter.com/CloroxPro,
Betco,Professional cleaning solutions,Professional cleaning solutions,draft,https://www.betco.com,,"877-856-5954, 888-462-3826",,,,,USA,cleaning_products,"Cleaning chemicals, Disinfectants, Training, Equipment",,,,,,,,
ABC Laboratories,Lab testing and analytical services,Lab testing and analytical services,draft,https://www.abclabs.com,,,,,,,USA,analytical_lab,"Analytical testing, Lab services, Research, Testing",,,,,,,,
Eurofins Scientific,Lab testing and analysis,Lab testing and analysis,draft,https://www.eurofinsus.com,,,,,,,USA,analytical_lab,"Lab testing, Analytical services, Research, Quality control",,,,,,,,
ALS Limited,Laboratory testing services,Laboratory testing services,draft,https://www.alsglobal.com,,"281-575-2290, +1 281-575-2290",,,,,USA,analytical_lab,"Lab testing, Environmental testing, Food testing, Forensics",,,,,,,,
NSF International,Lab testing and certification,Lab testing and certification,draft,https://www.nsf.org,,,,,,,USA,testing_certification,"Lab certification, Testing, Standards, Audits",,,,,,,,
UL Solutions,Safety testing and certification,Safety testing and certification,draft,https://www.ul.com,,,,,,,USA,testing_certification,"Lab testing, Certification, Safety testing, Standards",,,,,,,,
Intertek,Quality and safety testing,Quality and safety testing,draft,https://www.intertek.com,,800 967 5352,,,,,USA,testing_certification,"Lab testing, Inspection, Certification, Assurance",,,,,,,,
SGS,"Testing, inspection and certification","Testing, inspection and certification",draft,https://www.sgs.com,,,,,,,USA,testing_certification,"Lab testing, Inspection, Certification, Verification",,,,,,,,
Bureau Veritas,"Testing, inspection and certification","Testing, inspection and certification",draft,https://www.bureauveritas.com,,,,,,,USA,testing_certification,"Lab testing, Inspection, Certification, Compliance",,,,,,,,
Noxilico,"Specialized laboratory decontamination and decommissioning company serving pharmaceutical, biotech, and research laboratories across North America.","Specialized laboratory decontamination and decommissioning company serving pharmaceutical, biotech, and research laboratories across North America.",draft,https://www.noxilico.com,"info@noxilico.com, contact@noxilico.com",,"750 Rue de l'industrie, Saint-Jean-sur-Richelieu, QC J3B 6X9",Saint-Jean-sur-Richelieu,QC,J3B 6X9,Canada,lab_decommissioning,"Lab decommissioning, Decontamination, Chemical clearance, Equipment disposal",2003,50-100,,,,https://www.linkedin.com/company/noxilico,,
Chemistry Rx,Lab equipment and services,Lab equipment and services,draft,https://www.chemistryrx.com,info@chemistryrx.com,"267-861-0862, (855) 790-0100",,,,,USA,lab_services,"Lab equipment, Glassware cleaning, Sterilization, Calibration",,,,,,,,
Avantor Services,Lab services and solutions,Lab services and solutions,draft,https://avantorsciences.com,,,,,,,USA,lab_services,"Lab equipment, Cleaning validation, Calibration, Training",,,,,,,,
Thermo Fisher Scientific Services,Lab equipment and service,Lab equipment and service,draft,https://www.thermofisher.com,,1771485018,,,,,USA,lab_services,"Equipment service, Calibration, Validation, Training",,,,,,,,
Agilent CrossLab,Lab instrument services,Lab instrument services,draft,https://www.agilent.com,,1771485019,,,,,USA,lab_services,"Instrument service, Calibration, Training, Support",,,,,,,,
Waters Corporation Services,Chromatography system services,Chromatography system services,draft,https://www.waters.com,,,,,,,USA,lab_services,"Instrument service, Preventive maintenance, Training, Validation",,,,,,,,
Shimadzu Scientific Instruments,Analytical instrument services,Analytical instrument services,draft,https://www.ssi.shimadzu.com,,,,,,,USA,lab_services,"Service, Support, Training, Calibration",,,,,,,,
PerkinElmer Services,Lab equipment and services,Lab equipment and services,draft,https://www.perkinelmer.com,,,,,,,USA,lab_services,"Instrument service, Applications support, Training, Validation",,,,,,,,
Beckman Coulter Life Sciences,Centrifuge and lab services,Centrifuge and lab services,draft,https://www.beckmancoulter.com,,,,,,,USA,lab_services,"Service, Preventive maintenance, Training, Validation",,,,,,,,
Bio-Rad Laboratories Services,Life science equipment service,Life science equipment service,draft,https://www.bio-rad.com,,1771485020,,,,,USA,lab_services,"Service, Support, Training, Applications",,,,,,,,
Eppendorf Service,Lab equipment service,Lab equipment service,draft,https://www.eppendorf.com,,,,,,,USA,lab_services,"Service, Calibration, Training, Repair",,,,,,,,
Sartorius Services,Lab and bioprocess services,Lab and bioprocess services,draft,https://www.sartorius.com,,,,,,,USA,lab_services,"Service, Validation, Training, Applications",,,,,,,,
Metler Toledo Service,Lab balance and scale service,Lab balance and scale service,draft,https://www.mt.com,,,,,,,USA,lab_services,"Calibration, Service, Training, Validation",,,,,,,,
Cytiva,Bioprocessing lab services,Bioprocessing lab services,draft,https://www.cytiva.com,,,,,,,USA,lab_services,"Service, Validation, Training, Applications",,,,,,,,
Danaher,Lab diagnostics and services,Lab diagnostics and services,draft,https://www.danaher.com,,,,,,,USA,lab_services,"Service, Support, Training, Applications",,,,,,,,
Labconco,Fume hoods and lab equipment,Fume hoods and lab equipment,draft,https://www.labconco.com,,,,,,,USA,equipment_manufacturer,"Equipment, Installation, Service, Certification",,,,,,,,
NuAire,Biological safety cabinets,Biological safety cabinets,draft,https://www.nuaire.com,,763-553-1270,,,,,USA,equipment_manufacturer,"Equipment, Installation, Certification, Service",,,,,,,,
The Baker Company,Biological safety cabinets,Biological safety cabinets,draft,https://www.bakerco.com,,,,,,,USA,equipment_manufacturer,"Equipment, Installation, Certification, Service",,,,,,,,
Air Science,Fume hoods and enclosures,Fume hoods and enclosures,draft,https://www.airscience.com,info@airscience.com,"(239) 489-0024, 239.489.0024",,,,,USA,equipment_manufacturer,"Equipment, Installation, Service, Filters",,,,,,,,
Bertsche,Lab relocation and decommissioning,Lab relocation and decommissioning,draft,https://www.bertsche.com,,,,,,,USA,lab_decommissioning,"Lab relocation, Decommissioning, Decontamination, Moving",,,,,,,,
H+H Laboratory Services,Lab equipment service,Lab equipment service,draft,https://hhlab.com,,,,,,,USA,lab_services,"Service, Repair, Calibration, Training",,,,,,,,
GenVault,Sample management services,Sample management services,draft,https://www.genvault.com,,,,,,,USA,lab_services,"Biobanking, Sample storage, Cold chain, Tracking",,,,,,,,
Brooks Life Sciences,Sample management and automation,Sample management and automation,draft,https://www.brooks.com,,,,,,,USA,lab_services,"Automation, Sample management, Storage, Tracking",,,,,,,,
Azenta Life Sciences,Sample management and storage,Sample management and storage,draft,https://www.azenta.com,,,,,,,USA,lab_services,"Biobanking, Sample storage, Cold chain, Software",,,,,,,,
Hamilton Company,Lab automation and liquid handling,Lab automation and liquid handling,draft,https://www.hamiltoncompany.com,,,,,,,USA,automation,"Automation, Liquid handling, Service, Training",,,,,,,,
Tecan,Lab automation,Lab automation,draft,https://www.tecan.com,,,,,,,USA,automation,"Automation, Liquid handling, Service, Applications",,,,,,,,
PerkinElmer Informatics,Lab information management,Lab information management,draft,https://www.perkinelmerinformatics.com,,,,,,,USA,software,"LIMS, Software, Training, Support",,,,,,,,
LabWare,LIMS and laboratory software,LIMS and laboratory software,draft,https://www.labware.com,,,,,,,USA,software,"LIMS, Software, Implementation, Training",,,,,,,,
Thermo Fisher SampleManager,LIMS software,LIMS software,draft,https://www.thermofisher.com,,1771485032,,,,,USA,software,"LIMS, Software, Implementation, Support",,,,,,,,
Agilent OpenLAB,Lab software solutions,Lab software solutions,draft,https://www.agilent.com,,1771485033,,,,,USA,software,"Software, ELN, LIMS, Support",,,,,,,,
Waters NuGenesis,Lab data management,Lab data management,draft,https://www.waters.com,,,,,,,USA,software,"Software, LIMS, SDMS, Training",,,,,,,,
BIOVIA,Scientific software,Scientific software,draft,https://www.3ds.com/products-services/biovia,,,,,,,USA,software,"ELN, LIMS, Software, Training",,,,,,,,
IDBS,Bioinformatics software,Bioinformatics software,draft,https://www.idbs.com,,"+1 781 272 3355, 781 272 3355",,,,,USA,software,"Software, ELN, Biobanking, Support",,,,,,,,
Labguru,Lab management platform,Lab management platform,draft,https://www.labguru.com,info@biodata.com,,,,,,USA,software,"Software, ELN, Inventory, Training",,,,,,,,
Benchling,Lab informatics platform,Lab informatics platform,draft,https://www.benchling.com,,,,,,,USA,software,"Software, ELN, LIMS, Support",,,,,,,,
Science Exchange,Lab service marketplace,Lab service marketplace,draft,https://www.scienceexchange.com,info@scienceexchange.com,,,,,,USA,marketplace,"Lab services, Outsourcing, Testing, Research",,,,,,,,
 Scientist.com,Research marketplace,Research marketplace,draft,https://www.scientist.com,,,,,,,USA,marketplace,"Lab services, Outsourcing, Research, Testing",,,,,,,,
